1,Авангард,2
2,Автомобилист,2
3,Адмирал,2
4,Ак Барс,2
5,Амур,2
6,Барыс,2
7,Витязь,1
8,Динамо Мн,1
9,Динамо Мск,1
10,Динамо Р,1
11,Йокерит,1
12,Куньлунь РС,2
13,Лада,2
14,Локомотив,1
15,Медвешчак,1
16,Металлург Мг,2
17,Металлург Нк,2
18,Нефтехимик,2
19,СКА,1
20,Салават Юлаев,2
21,Северсталь,1
22,Сибирь,2
23,Слован,1
24,Спартак,1
25,Торпедо,1
26,Трактор,2
27,ХК Сочи,1
28,ЦСКА,1
29,Югра,2
